Date,Open,High,Low,Close,Adj Close,Volume
24-01-2022,1162.5,1164.5,1111,1124.900024,1083.287598,5878438
25-01-2022,1115,1139.650024,1088.400024,1123.699951,1082.13208,4725254
27-01-2022,1115,1115.949951,1070.199951,1077.75,1037.881836,8304735
28-01-2022,1079,1102.199951,1077.25,1080.449951,1040.481812,7654724
31-01-2022,1100.650024,1113.949951,1092.849976,1099.400024,1058.730957,7572995
01-02-2022,1116.699951,1136.5,1101.25,1132.800049,1090.895508,6783774
02-02-2022,1142.900024,1173.849976,1133.300049,1170.949951,1127.634033,6982539
03-02-2022,1162,1170.849976,1151,1156.75,1113.959351,4169794
04-02-2022,1160,1167.099976,1137.349976,1163.800049,1120.748779,3625482
07-02-2022,1157,1171.349976,1146,1157.349976,1114.537231,3824483
08-02-2022,1158.949951,1169.849976,1148.550049,1161.949951,1118.967041,3267641
09-02-2022,1172,1189,1166,1180.900024,1137.216187,3772972
10-02-2022,1184.949951,1191.900024,1174.099976,1190.349976,1146.316406,2053245
11-02-2022,1179,1179,1158.050049,1163.699951,1120.652344,3912397
14-02-2022,1135.349976,1164.349976,1133.599976,1146.449951,1104.040405,3243813
15-02-2022,1153.5,1174,1148.099976,1168.550049,1125.32312,3000492
16-02-2022,1178,1182.650024,1160,1167.800049,1124.600708,1885868
17-02-2022,1174,1174,1160,1163.050049,1120.026489,1644055
18-02-2022,1152.849976,1170.099976,1150.099976,1165,1121.904297,2166690
21-02-2022,1153.099976,1169.5,1150.199951,1164.75,1121.663452,1706058
22-02-2022,1132,1154.150024,1132,1149.550049,1107.025757,3254855
23-02-2022,1156,1159,1148.050049,1153,1110.348145,1937649
24-02-2022,1106,1134.949951,1092,1098.550049,1057.912354,5469084
25-02-2022,1115.599976,1141,1115,1129.699951,1087.910034,3213276
28-02-2022,1119.599976,1133.300049,1107,1126.949951,1085.261719,4571884
02-03-2022,1124.650024,1124.650024,1109,1115.550049,1074.283569,3867328
03-03-2022,1125,1152,1120.5,1139.699951,1097.540039,3969380
04-03-2022,1128,1154.849976,1122.650024,1138.449951,1096.336426,3522375
07-03-2022,1111,1161.400024,1110.5,1154.199951,1111.503662,5249845
08-03-2022,1156,1179.599976,1155,1175.300049,1131.823242,3805165
09-03-2022,1180,1195,1161.099976,1182.699951,1138.949341,3781326
10-03-2022,1198.199951,1198.199951,1175,1192.150024,1148.049805,3834327
11-03-2022,1180,1207.150024,1176.300049,1193.449951,1149.301758,2770879
14-03-2022,1193.449951,1214.800049,1177.650024,1202.849976,1158.354126,5740660
15-03-2022,1207,1214.300049,1168.099976,1176.849976,1133.315796,3003066
16-03-2022,1190.150024,1202.949951,1185,1199.5,1155.12793,1894018
17-03-2022,1215,1215,1190.800049,1196.900024,1152.624146,6987787
21-03-2022,1199.900024,1209.900024,1165.099976,1168.050049,1124.841431,4046440
22-03-2022,1170,1181.75,1162.300049,1176.400024,1132.882568,4516870
23-03-2022,1190,1190.849976,1170,1180.699951,1137.023315,2338886
24-03-2022,1169,1194,1169,1192.099976,1148.001709,2351703
25-03-2022,1199,1199,1175.400024,1179.349976,1135.723389,2489854
28-03-2022,1184.900024,1187.599976,1158.199951,1163.949951,1120.893066,3406258
29-03-2022,1167,1175,1163.650024,1167.699951,1124.504395,2443230
30-03-2022,1177.349976,1181.949951,1162.099976,1165.199951,1122.09668,3073672
31-03-2022,1174.800049,1174.800049,1161,1163.75,1120.700439,3006639
01-04-2022,1161,1174,1152.050049,1169.650024,1126.382324,2479745
04-04-2022,1173.199951,1188.949951,1168,1187.050049,1143.13855,2282137
05-04-2022,1190,1203,1184.099976,1195.449951,1151.227783,2634464
06-04-2022,1190,1194.900024,1167.5,1170.5,1127.200806,2838968
07-04-2022,1165.599976,1180.75,1163,1173.300049,1129.897217,3391918
08-04-2022,1179,1180,1162.550049,1165.349976,1122.241211,2656091
11-04-2022,1164,1164,1131.75,1133.5,1091.569458,5679058
12-04-2022,1129.800049,1141.699951,1119.550049,1131.150024,1089.306396,2906617
13-04-2022,1135,1143.099976,1123,1125.099976,1083.480103,1971580
18-04-2022,1110,1112.75,1084.599976,1101.75,1060.994019,4391701
19-04-2022,1115.900024,1115.949951,1058.75,1070.25,1030.659302,3422431
20-04-2022,1075,1094.800049,1064.699951,1089.400024,1049.100952,2573318
21-04-2022,1095,1105.050049,1081.099976,1099.199951,1058.53833,2547848
22-04-2022,1086.599976,1134.949951,1081.099976,1102.050049,1061.282959,9567571
25-04-2022,1096.900024,1098,1077.300049,1089.849976,1049.53418,3565801
26-04-2022,1104,1107,1085.050049,1094.300049,1053.819702,3213714
27-04-2022,1087,1099.900024,1074.599976,1095.599976,1055.071411,3288792
28-04-2022,1092,1102.300049,1073.300049,1092.5,1069.660034,5202061
29-04-2022,1094,1100.5,1074.349976,1079.25,1056.687012,2988180
02-05-2022,1073,1082,1062,1066.900024,1044.595215,2584604
04-05-2022,1075.900024,1076,1035.800049,1044.949951,1023.104004,3385725
05-05-2022,1059,1075.199951,1047.099976,1072.050049,1049.637573,2982126
06-05-2022,1049.900024,1056.650024,1028.949951,1050.199951,1028.244385,4075606
09-05-2022,1044,1082.900024,1034.099976,1076.099976,1053.602905,4207192
10-05-2022,1073,1085,1066.599976,1072.550049,1050.127197,2473518
11-05-2022,1069,1079.300049,1054.050049,1060.900024,1038.720703,2895668
12-05-2022,1050.099976,1070.949951,1043.75,1059.400024,1037.251953,3195189
13-05-2022,1070,1078,1045.099976,1052.150024,1030.153564,2496626
16-05-2022,1054,1066.949951,1040.199951,1044.550049,1022.712524,1415370
17-05-2022,1058.199951,1086,1045.349976,1082.900024,1060.260742,2620776
18-05-2022,1083.550049,1097.349976,1070.800049,1073.699951,1051.25293,2865869
19-05-2022,1055.099976,1058.300049,1004.599976,1009.400024,988.297302,4729354
20-05-2022,1029,1034.5,1016.799988,1028.849976,1007.340637,2005622
23-05-2022,1023,1037,1014.75,1018.299988,997.01123,2285466
24-05-2022,1022.049988,1022.400024,987,991.75,971.016296,3418456
25-05-2022,992,992.799988,963,974.450012,954.077942,3904551
26-05-2022,977,986,969.049988,980.700012,960.197327,4278059
27-05-2022,989,1010.450012,989,1003.900024,982.912292,2795530
30-05-2022,1019,1053.349976,1015.650024,1039.900024,1018.159729,3562969
31-05-2022,1045,1045.800049,1020.450012,1040.75,1018.991821,5185485
01-06-2022,1040.75,1045.449951,1011.549988,1017.900024,996.619629,2554081
02-06-2022,1011.400024,1048.900024,1007.299988,1039.699951,1017.963806,3560227
03-06-2022,1053.949951,1069.650024,1040.199951,1043,1021.194885,3556955
06-06-2022,1038,1047.349976,1021.150024,1037.300049,1015.614014,1997494
07-06-2022,1030,1033.75,1013.150024,1022.900024,1001.515076,1839248
08-06-2022,1023.099976,1033.800049,1016,1030.199951,1008.662415,1665512
09-06-2022,1024.949951,1031.699951,1011.700012,1028.650024,1007.144897,1654005
10-06-2022,1012,1023.75,1008.200012,1015.349976,994.122864,2260855
13-06-2022,996,1002,982.5,991.799988,971.065247,1738804
14-06-2022,988,1000.950012,978.150024,996.900024,976.058655,2461791
15-06-2022,989,1007,988,989.900024,969.205017,2408630
16-06-2022,1007,1007,961.650024,964.950012,944.776611,3198618
17-06-2022,952.400024,963.150024,944.049988,958.75,938.706177,4302066
20-06-2022,965,966,952.099976,960.049988,939.979004,1305407
21-06-2022,971.700012,999.900024,963.650024,986.599976,965.973938,2128325
22-06-2022,977.950012,979,959.150024,961.299988,941.202881,2575065
23-06-2022,962.099976,977.5,958.599976,971.25,950.944885,2169033
24-06-2022,984,984.549988,960,966.700012,946.490051,1922313
27-06-2022,986.150024,1006.799988,984.200012,992.349976,971.60376,3626024
28-06-2022,989.900024,1007,983.25,1001.950012,981.003113,2702471
29-06-2022,985.099976,1000.25,985,987.549988,966.904053,3150015
30-06-2022,990,996.549988,969.950012,973.25,952.903076,3741119
01-07-2022,964.5,981.450012,964.200012,975.349976,954.959106,2827579
04-07-2022,975.349976,989.5,973.450012,984.599976,964.015747,2738846
05-07-2022,987.400024,1002.650024,978.450012,982.150024,961.617004,2476050
06-07-2022,982,999,980.049988,986.599976,965.973938,2998254
07-07-2022,997,1000.900024,984.950012,989.849976,969.156006,2985141
08-07-2022,999,999,979.150024,983.549988,962.987732,3141642
11-07-2022,975,979.150024,940,943.549988,923.823975,5787815
12-07-2022,935,948.549988,924.400024,927.799988,908.403259,5305354
13-07-2022,930,936,905,917.75,898.563354,12874342
14-07-2022,926.150024,927.549988,892.299988,903,884.121704,4916497
15-07-2022,896,905,877.349976,883.150024,864.686707,5591590
18-07-2022,895,907.5,888.849976,900.299988,881.478149,5156225
19-07-2022,890,897.5,885,889.700012,880.884094,4636293
20-07-2022,904.599976,918.799988,895.099976,917.400024,908.309631,4827089
21-07-2022,921,926.950012,913.549988,924.450012,915.289795,3498709
22-07-2022,929.400024,931.900024,909,920.25,911.131348,3514659
